priority,overall_status,overall_risk_score,issue_category_final,recommended_check,time_start,time_end,device_name,logical_name,pn,side,och,och_group,center_frequency,ber_status,ber_risk_score,ber_mean,ber_p95,ber_max,ber_last,frequency_status,frequency_risk_score,issue_category,device_status,device_risk_score,power_device_status,edfa_device_status,channel_key,record_count,ber_median,ber_min,ber_critical_count,ber_warning_count,power_critical_count,power_warning_count
P1,Critical,100.0,Critical BER correlated with frequency-level degradation,"P1. Check optical channel/frequency, OCH power behavior, EDFA section and transponder Pre-FEC BER trend.",2000-01-08 13:00:00,2000-01-15 07:00:00,T11,/1/1/L2,ot2,A,23.0,4.0,196100000.0,Critical,100.0,0.0032211656441717,0.004429,0.00501,0.00265,Critical,100.0,BER critical only,Unknown,0.0,,,T11|/1/1/L2|23.0|4.0|196100000.0|A|ot2,163,0.00316,0.00208,1,0,0,0
P1,Critical,100.0,Frequency-level critical condition affecting this channel,P1/P2. Frequency has critical power or BER behavior. Check whether this channel shares the affected frequency group.,2000-01-08 13:00:00,2000-01-15 07:00:00,T11,/1/1/L1,ot2,Z,12.0,3.0,196100000.0,Normal,89.0,0.0026722699386503,0.003479,0.00395,0.0021,Critical,100.0,BER critical only,Unknown,0.0,,,T11|/1/1/L1|12.0|3.0|196100000.0|Z|ot2,163,0.00261,0.00204,1,0,0,0
P1,Critical,100.0,Frequency-level critical condition affecting this channel,P1/P2. Frequency has critical power or BER behavior. Check whether this channel shares the affected frequency group.,2000-01-08 13:00:00,2000-01-15 07:00:00,T6,/1/1/L2,ot2,A,12.0,3.0,196100000.0,Normal,84.0,0.0024276687116564,0.00283,0.00295,0.00233,Critical,100.0,BER critical only,Unknown,0.0,,,T6|/1/1/L2|12.0|3.0|196100000.0|A|ot2,163,0.0024,0.0019,1,0,0,0
P1,Critical,100.0,Frequency-level critical condition affecting this channel,P1/P2. Frequency has critical power or BER behavior. Check whether this channel shares the affected frequency group.,2000-01-08 13:00:00,2000-01-15 07:00:00,T16,/1/3/L1,ot2,Z,23.0,4.0,196100000.0,Normal,73.0,0.0021445398773006,0.00261,0.00321,0.00253,Critical,100.0,BER critical only,Unknown,0.0,,,T16|/1/3/L1|23.0|4.0|196100000.0|Z|ot2,163,0.00215,0.00166,1,0,0,0
P3,Normal,86.0,Normal channel with side-specific monitoring available,No immediate action. Continue monitoring.,2000-01-08 13:00:00,2000-01-15 07:00:00,T11,/1/2/L2,ot2,A,21.0,4.0,192200000.0,Normal,86.0,0.0019185889570552,0.00287,0.00362,0.00149,Normal,86.0,No abnormal behavior detected,Unknown,0.0,,,T11|/1/2/L2|21.0|4.0|192200000.0|A|ot2,163,0.0018,0.00129,0,0,0,0
P3,Normal,86.0,Normal channel with side-specific monitoring available,No immediate action. Continue monitoring.,2000-01-08 13:00:00,2000-01-15 07:00:00,T16,/1/2/L1,ot2,Z,21.0,4.0,192200000.0,Normal,82.0,0.0021298773006134,0.002799,0.0034,0.00208,Normal,86.0,No abnormal behavior detected,Unknown,0.0,,,T16|/1/2/L1|21.0|4.0|192200000.0|Z|ot2,163,0.00204,0.00166,0,0,0,0
P3,Normal,86.0,Normal channel with side-specific monitoring available,No immediate action. Continue monitoring.,2000-01-08 13:00:00,2000-01-15 07:00:00,T11,/1/2/L1,ot2,Z,13.0,3.0,192200000.0,Normal,73.0,0.0021690184049079,0.00261,0.00338,0.00214,Normal,86.0,No abnormal behavior detected,Unknown,0.0,,,T11|/1/2/L1|13.0|3.0|192200000.0|Z|ot2,163,0.0021,0.00184,0,0,0,0
P3,Normal,86.0,Normal channel with side-specific monitoring available,No immediate action. Continue monitoring.,2000-01-08 13:00:00,2000-01-15 07:00:00,T6,/1/2/L2,ot2,A,13.0,3.0,192200000.0,Normal,40.0,0.0016000613496932,0.001818,0.00215,0.00172,Normal,86.0,No abnormal behavior detected,Unknown,0.0,,,T6|/1/2/L2|13.0|3.0|192200000.0|A|ot2,163,0.00156,0.00146,0,0,0,0
P3,Normal,80.0,Normal channel with side-specific monitoring available,No immediate action. Continue monitoring.,2000-01-08 13:00:00,2000-01-15 07:00:00,T13,/1/1/L1,ot2,Z,19.0,3.0,193500000.0,Normal,80.0,0.0021779754601226,0.00269,0.00311,0.00198,Normal,80.0,No abnormal behavior detected,Unknown,0.0,,,T13|/1/1/L1|19.0|3.0|193500000.0|Z|ot2,163,0.00217,0.00165,0,0,0,0
P3,Normal,80.0,Normal channel with side-specific monitoring available,No immediate action. Continue monitoring.,2000-01-08 13:00:00,2000-01-15 07:00:00,T7,/1/4/L2,ot2,A,19.0,3.0,193500000.0,Normal,38.0,0.0014723926380368,0.00181,0.0019,0.00142,Normal,80.0,No abnormal behavior detected,Unknown,0.0,,,T7|/1/4/L2|19.0|3.0|193500000.0|A|ot2,163,0.00145,0.0012,0,0,0,0
