device_name,och_channel_count,power_risk_score_max,power_critical_count,power_warning_count,power_normal_count,power_device_status,edfa_count,edfa_risk_score_max,edfa_critical_count,edfa_warning_count,edfa_normal_count,edfa_device_status,device_status,device_risk_score,priority,recommended_check
18,12,100.0,4,2,6,Critical,1,73.79,0,0,1,Normal,Critical,100.0,P1,"Critical OCH power behavior detected. Check OCH power level, channel equalization, patching, connector condition and optical path."
25,30,90.21,0,2,28,Warning,2,100.0,1,1,0,Critical,Critical,100.0,P1,"Critical EDFA behavior detected. Check amplifier gain profile, gain tilt, VOA/attenuation and span condition."
29,30,99.93,1,3,26,Critical,2,76.7,0,0,2,Normal,Critical,99.93,P1,"Critical OCH power behavior detected. Check OCH power level, channel equalization, patching, connector condition and optical path."
33,30,99.85,1,3,26,Critical,2,76.7,0,0,2,Normal,Critical,99.85,P1,"Critical OCH power behavior detected. Check OCH power level, channel equalization, patching, connector condition and optical path."
14,12,99.78,3,3,6,Critical,2,36.89,0,0,2,Normal,Critical,99.78,P1,"Critical OCH power behavior detected. Check OCH power level, channel equalization, patching, connector condition and optical path."
43,30,99.78,1,4,25,Critical,2,96.12,0,1,1,Warning,Critical,99.78,P1,"Critical OCH power behavior detected. Check OCH power level, channel equalization, patching, connector condition and optical path."
31,30,99.7,1,2,27,Critical,2,76.7,0,0,2,Normal,Critical,99.7,P1,"Critical OCH power behavior detected. Check OCH power level, channel equalization, patching, connector condition and optical path."
15,12,99.63,2,4,6,Critical,2,71.84,0,0,2,Normal,Critical,99.63,P1,"Critical OCH power behavior detected. Check OCH power level, channel equalization, patching, connector condition and optical path."
35,30,99.63,1,3,26,Critical,2,93.2,0,1,1,Warning,Critical,99.63,P1,"Critical OCH power behavior detected. Check OCH power level, channel equalization, patching, connector condition and optical path."
16,12,99.55,2,4,6,Critical,2,97.09,0,2,0,Warning,Critical,99.55,P1,"Critical OCH power behavior detected. Check OCH power level, channel equalization, patching, connector condition and optical path."
27,30,99.55,1,2,27,Critical,2,89.32,0,0,2,Normal,Critical,99.55,P1,"Critical OCH power behavior detected. Check OCH power level, channel equalization, patching, connector condition and optical path."
17,12,99.48,2,4,6,Critical,2,81.55,0,0,2,Normal,Critical,99.48,P1,"Critical OCH power behavior detected. Check OCH power level, channel equalization, patching, connector condition and optical path."
