channel_key,device_name,logical_name,online_channel_num,center_frequency,record_count,time_start,time_end,power_mean,power_median,power_min,power_max,power_std,power_range,power_last,power_drift_status,low_power_status,power_status,drift_risk_score,low_power_risk_score,power_risk_score,recommended_check
18|/D1/OA-W/IGR_OCM|4|191400,18,/D1/OA-W/IGR_OCM,4,191400,344,2000-01-01 00:00:00,2000-01-15 07:00:00,6.054651162790698,8.51,2.31,9.22,2.8314695306555415,6.91,3.01,Critical,Normal,Critical,100.0,83.08605341246292,100.0,"OCH power is in the extreme dataset range. Prioritize checking optical channel power, EDFA behavior, connector/patching and channel path."
18|/D1/OA-W/IGR_OCM|4|191800,18,/D1/OA-W/IGR_OCM,4,191800,344,2000-01-01 00:00:00,2000-01-15 07:00:00,6.347674418604651,8.585,2.65,9.49,2.64165485037281,6.84,3.56,Critical,Normal,Critical,99.92581602373886,77.48516320474778,99.93,"OCH power is in the extreme dataset range. Prioritize checking optical channel power, EDFA behavior, connector/patching and channel path."
29|/TO_WEST_OCM|11|193100,29,/TO_WEST_OCM,11,193100,163,2000-01-08 13:00:00,2000-01-15 07:00:00,1.5490184049815952,1.71,-2.149999999,2.83,1.0064398900450444,4.979999999,2.61,Warning,Critical,Critical,94.95548961424333,99.92581602373886,99.93,"OCH power is in the extreme dataset range. Prioritize checking optical channel power, EDFA behavior, connector/patching and channel path."
18|/D1/OA-W/IGR_OCM|4|191600,18,/D1/OA-W/IGR_OCM,4,191600,344,2000-01-01 00:00:00,2000-01-15 07:00:00,5.641017441860465,7.92,2.08,8.7,2.695014479261043,6.619999999999999,2.67,Critical,Normal,Critical,99.85163204747775,86.49851632047478,99.85,"OCH power is in the extreme dataset range. Prioritize checking optical channel power, EDFA behavior, connector/patching and channel path."
33|/TO_WEST_OCM|11|193100,33,/TO_WEST_OCM,11,193100,163,2000-01-08 13:00:00,2000-01-15 07:00:00,1.9290797546441716,1.96,-1.599999999,3.06,0.8428572873824624,4.659999999,3.02,Warning,Critical,Critical,93.99109792284867,99.85163204747775,99.85,"OCH power is in the extreme dataset range. Prioritize checking optical channel power, EDFA behavior, connector/patching and channel path."
14|/TO_EAST_OCM|4|191400,14,/TO_EAST_OCM,4,191400,344,2000-01-01 00:00:00,2000-01-15 07:00:00,7.179554896921511,9.440577504,3.760390299,10.11426726,2.626394603218919,6.353876961,4.340249479,Critical,Normal,Critical,99.77744807121661,44.13946587537092,99.78,"OCH power is in the extreme dataset range. Prioritize checking optical channel power, EDFA behavior, connector/patching and channel path."
43|/TO_WEST_OCM|11|196100,43,/TO_WEST_OCM,11,196100,163,2000-01-08 13:00:00,2000-01-15 07:00:00,-1.005644170779141,-0.979999999,-1.309999999,-0.719999999,0.1259974368238992,0.59,-1.059999999,Normal,Critical,Critical,59.19881305637982,99.77744807121661,99.78,"OCH power is in the extreme dataset range. Prioritize checking optical channel power, EDFA behavior, connector/patching and channel path."
18|/D1/OA-W/IGR_OCM|4|191500,18,/D1/OA-W/IGR_OCM,4,191500,344,2000-01-01 00:00:00,2000-01-15 07:00:00,5.628023255813954,7.955,2.33,8.56,2.6913197342556727,6.23,2.62,Critical,Normal,Critical,99.70326409495549,82.71513353115726,99.7,"OCH power is in the extreme dataset range. Prioritize checking optical channel power, EDFA behavior, connector/patching and channel path."
31|/TO_WEST_OCM|11|193500,31,/TO_WEST_OCM,11,193500,163,2000-01-08 13:00:00,2000-01-15 07:00:00,1.1995538575398772,1.115687754,-1.264331073,2.35890712,0.7220853735574384,3.6232381929999997,2.288108186,Warning,Critical,Critical,91.32047477744807,99.70326409495549,99.7,"OCH power is in the extreme dataset range. Prioritize checking optical channel power, EDFA behavior, connector/patching and channel path."
15|/TO_EAST_OCM|4|191400,15,/TO_EAST_OCM,4,191400,344,2000-01-01 00:00:00,2000-01-15 07:00:00,6.892107687113372,9.052165096,3.51266565,9.735237385,2.523951497252678,6.222571734999999,4.054384488,Critical,Normal,Critical,99.62908011869436,52.596439169139465,99.63,"OCH power is in the extreme dataset range. Prioritize checking optical channel power, EDFA behavior, connector/patching and channel path."
35|/TO_WEST_OCM|11|193500,35,/TO_WEST_OCM,11,193500,163,2000-01-08 13:00:00,2000-01-15 07:00:00,1.2599798365030674,1.196145317,-1.054660294,2.4642917,0.8008049178085366,3.518951994,2.398594295,Warning,Critical,Critical,91.0979228486647,99.62908011869436,99.63,"OCH power is in the extreme dataset range. Prioritize checking optical channel power, EDFA behavior, connector/patching and channel path."
16|/TO_EAST_OCM|4|191400,16,/TO_EAST_OCM,4,191400,344,2000-01-01 00:00:00,2000-01-15 07:00:00,7.487903000177325,9.619358377,4.116542003,10.29199298,2.4831962269417143,6.175450977,4.677360394,Critical,Normal,Critical,99.55489614243324,33.01186943620178,99.55,"OCH power is in the extreme dataset range. Prioritize checking optical channel power, EDFA behavior, connector/patching and channel path."
27|/TO_WEST_OCM|11|193500,27,/TO_WEST_OCM,11,193500,163,2000-01-08 13:00:00,2000-01-15 07:00:00,1.3717650388895706,1.256825655,-1.024548554,2.509235271,0.5557056909394061,3.533783825,2.380650377,Warning,Critical,Critical,91.17210682492582,99.55489614243324,99.55,"OCH power is in the extreme dataset range. Prioritize checking optical channel power, EDFA behavior, connector/patching and channel path."
