channel_key,device_name,logical_name,pn,side,och,och_group,center_frequency,record_count,time_start,time_end,ber_mean,ber_median,ber_p95,ber_max,ber_min,ber_last,ber_status,ber_risk_score,recommended_check
T11|/1/1/L2|23.0|4.0|196100000.0|A|ot2,T11,/1/1/L2,ot2,A,23.0,4.0,196100000.0,163,2000-01-08 13:00:00,2000-01-15 07:00:00,0.003221165644171779,0.00316,0.004429,0.00501,0.00208,0.00265,Critical,100.0,"Pre-FEC BER is above dataset P99. Prioritize checking optical path quality, power level, OSNR-related degradation and transponder condition."
T11|/1/1/L1|12.0|3.0|196100000.0|Z|ot2,T11,/1/1/L1,ot2,Z,12.0,3.0,196100000.0,163,2000-01-08 13:00:00,2000-01-15 07:00:00,0.002672269938650307,0.00261,0.003479,0.00395,0.00204,0.0021,Normal,89.0,No immediate action. Continue monitoring Pre-FEC BER.
T16|/1/1/L1|25.0|4.0|193000000.0|Z|ot2,T16,/1/1/L1,ot2,Z,25.0,4.0,193000000.0,163,2000-01-08 13:00:00,2000-01-15 07:00:00,0.0024057055214723923,0.00231,0.003479,0.00452,0.00175,0.00258,Normal,89.0,No immediate action. Continue monitoring Pre-FEC BER.
T11|/1/2/L2|21.0|4.0|192200000.0|A|ot2,T11,/1/2/L2,ot2,A,21.0,4.0,192200000.0,163,2000-01-08 13:00:00,2000-01-15 07:00:00,0.0019185889570552147,0.0018,0.0028700000000000006,0.00362,0.00129,0.00149,Normal,86.0,No immediate action. Continue monitoring Pre-FEC BER.
T6|/1/1/L2|12.0|3.0|196100000.0|A|ot2,T6,/1/1/L2,ot2,A,12.0,3.0,196100000.0,163,2000-01-08 13:00:00,2000-01-15 07:00:00,0.0024276687116564417,0.0024,0.00283,0.00295,0.0019,0.00233,Normal,84.0,No immediate action. Continue monitoring Pre-FEC BER.
T16|/1/2/L1|21.0|4.0|192200000.0|Z|ot2,T16,/1/2/L1,ot2,Z,21.0,4.0,192200000.0,163,2000-01-08 13:00:00,2000-01-15 07:00:00,0.002129877300613497,0.00204,0.002799,0.0034,0.00166,0.00208,Normal,82.0,No immediate action. Continue monitoring Pre-FEC BER.
T13|/1/1/L1|19.0|3.0|193500000.0|Z|ot2,T13,/1/1/L1,ot2,Z,19.0,3.0,193500000.0,163,2000-01-08 13:00:00,2000-01-15 07:00:00,0.0021779754601226995,0.00217,0.00269,0.00311,0.00165,0.00198,Normal,80.0,No immediate action. Continue monitoring Pre-FEC BER.
T16|/1/3/L2|20.0|4.0|194400000.0|Z|ot2,T16,/1/3/L2,ot2,Z,20.0,4.0,194400000.0,163,2000-01-08 13:00:00,2000-01-15 07:00:00,0.002147791411042945,0.00211,0.00268,0.00391,0.00151,0.00206,Normal,78.0,No immediate action. Continue monitoring Pre-FEC BER.
T10|/1/2/L2|22.0|4.0|193200000.0|A|ot2,T10,/1/2/L2,ot2,A,22.0,4.0,193200000.0,163,2000-01-08 13:00:00,2000-01-15 07:00:00,0.0018015950920245397,0.00174,0.0026550000000000002,0.0031,0.00116,0.00121,Normal,76.0,No immediate action. Continue monitoring Pre-FEC BER.
T11|/1/2/L1|13.0|3.0|192200000.0|Z|ot2,T11,/1/2/L1,ot2,Z,13.0,3.0,192200000.0,163,2000-01-08 13:00:00,2000-01-15 07:00:00,0.002169018404907975,0.0021,0.00261,0.00338,0.00184,0.00214,Normal,73.0,No immediate action. Continue monitoring Pre-FEC BER.
T16|/1/3/L1|23.0|4.0|196100000.0|Z|ot2,T16,/1/3/L1,ot2,Z,23.0,4.0,196100000.0,163,2000-01-08 13:00:00,2000-01-15 07:00:00,0.0021445398773006132,0.00215,0.00261,0.00321,0.00166,0.00253,Normal,73.0,No immediate action. Continue monitoring Pre-FEC BER.
T10|/1/1/L1|7.0|3.0|193000000.0|Z|ot2,T10,/1/1/L1,ot2,Z,7.0,3.0,193000000.0,163,2000-01-08 13:00:00,2000-01-15 07:00:00,0.0019403680981595092,0.00183,0.00257,0.00274,0.00155,0.00211,Normal,70.0,No immediate action. Continue monitoring Pre-FEC BER.
T11|/1/3/L2|20.0|4.0|194400000.0|A|ot2,T11,/1/3/L2,ot2,A,20.0,4.0,194400000.0,163,2000-01-08 13:00:00,2000-01-15 07:00:00,0.002002208588957055,0.00196,0.002499,0.00288,0.00149,0.00173,Normal,68.0,No immediate action. Continue monitoring Pre-FEC BER.
T5|/1/4/L2|9.0|3.0|194400000.0|A|ot2,T5,/1/4/L2,ot2,A,9.0,3.0,194400000.0,163,2000-01-08 13:00:00,2000-01-15 07:00:00,0.0019695705521472393,0.00188,0.00249,0.00269,0.00151,0.00161,Normal,66.0,No immediate action. Continue monitoring Pre-FEC BER.
T12|/1/1/L1|11.0|3.0|192300000.0|Z|ot2,T12,/1/1/L1,ot2,Z,11.0,3.0,192300000.0,163,2000-01-08 13:00:00,2000-01-15 07:00:00,0.0022855828220858894,0.00228,0.00248,0.00261,0.00191,0.00242,Normal,63.0,No immediate action. Continue monitoring Pre-FEC BER.
T12|/1/2/L1|8.0|3.0|192400000.0|Z|ot2,T12,/1/2/L1,ot2,Z,8.0,3.0,192400000.0,163,2000-01-08 13:00:00,2000-01-15 07:00:00,0.0023036196319018406,0.00231,0.00248,0.00277,0.00196,0.00237,Normal,63.0,No immediate action. Continue monitoring Pre-FEC BER.
T14|/1/1/L1|15.0|3.0|192500000.0|Z|ot2,T14,/1/1/L1,ot2,Z,15.0,3.0,192500000.0,163,2000-01-08 13:00:00,2000-01-15 07:00:00,0.002183006134969325,0.0022,0.002458,0.00276,0.00175,0.0023,Normal,60.0,No immediate action. Continue monitoring Pre-FEC BER.
T10|/1/3/L1|14.0|3.0|193300000.0|Z|ot2,T10,/1/3/L1,ot2,Z,14.0,3.0,193300000.0,163,2000-01-08 13:00:00,2000-01-15 07:00:00,0.0017849693251533742,0.00174,0.0023150000000000002,0.00255,0.00139,0.00196,Normal,58.0,No immediate action. Continue monitoring Pre-FEC BER.
T8|/1/3/L2|17.0|3.0|192000000.0|A|ot2,T8,/1/3/L2,ot2,A,17.0,3.0,192000000.0,163,2000-01-08 13:00:00,2000-01-15 07:00:00,0.0018766871165644171,0.00184,0.0022689999999999997,0.00245,0.00154,0.0023,Normal,56.0,No immediate action. Continue monitoring Pre-FEC BER.
